time_s,counts_ch4_raw,counts_ch7_raw,counts_ch4_smooth,counts_ch7_smooth,extinction_ratio
1.0249999997613486,100,174,90.95,180.2,1.9813084111931685
1.0499999997555278,79,185,92.05,179.05,1.9451385116573043
1.074999999749707,113,169,91.7,181.25,1.9765539803492196
1.0999999997438863,98,197,91.5,181.25,1.9808743169182417
1.1249999997380655,95,160,91.9,180.75,1.9668117518828419
1.1499999997322448,80,176,91.1,179.45,1.9698133918554355
1.174999999726424,97,190,90.4,178.4,1.973451327411798
1.1999999997206032,104,209,90.4,178.05,1.9695796459959116
1.2249999997147825,81,163,90.45,176.65,1.9530127141851519
1.2499999997089617,95,162,91.15,174.65,1.9160724080974647
1.274999999703141,111,172,91.15,174.8,1.917718047153947
1.2999999996973202,75,194,90.45,175.85,1.944168048624166
1.3249999996914994,81,170,90.4,175.3,1.9391592920139473
1.3499999996856786,102,179,89.75,176.05,1.9615598885575314
1.3749999996798579,80,175,89.75,174.5,1.9442896935716514
1.399999999674037,79,149,88.5,174.85,1.975706214666941
1.4249999996682163,87,185,88.6,176.2,1.9887133182619783
1.4499999996623956,91,155,88.6,176.5,1.9920993227766128
1.4749999996565748,96,162,87.7,174.9,1.9942987457013193
1.499999999650754,79,170,89.1,176.3,1.9786756453201049
1.5249999996449333,86,195,89.0,177.25,1.9915730336854878
1.5499999996391125,78,174,89.0,177.85,1.99831460671912
1.5749999996332917,100,184,89.8,177.2,1.973273942071567
1.599999999627471,98,166,90.1,177.6,1.9711431742289551
1.6249999996216502,70,167,89.85,177.3,1.97328881466919
1.6499999996158294,82,203,90.5,178.0,1.9668508287075486
1.6749999996100087,97,196,91.95,178.75,1.9439912995982165
1.699999999604188,86,177,92.0,177.4,1.928260869544258
1.7249999995983671,109,191,91.65,178.35,1.9459901800115
1.7499999995925464,93,181,91.55,179.0,1.9552157290884193
1.7749999995867256,111,184,92.65,179.25,1.9347004856779846
1.7999999995809048,91,181,92.8,177.15,1.908943965496671
1.824999999575084,87,178,94.3,176.85,1.8753976670002608
1.8499999995692633,97,173,93.95,176.6,1.8797232570316154
1.8749999995634425,93,189,93.8,177.5,1.8923240937964572
1.8999999995576218,108,164,95.1,178.1,1.8727655099697922
1.924999999551801,88,158,95.3,175.8,1.8447009443667923
1.9499999995459802,84,174,94.7,173.7,1.8342133051548655
1.9749999995401595,94,175,94.55,174.5,1.8455843468868791
1.9999999995343387,101,175,93.0,174.2,1.8731182795497512
2.024999999528518,89,153,92.45,173.4,1.8756084369726813
2.049999999522697,108,168,90.75,172.45,1.9002754820727241
2.0749999995168764,93,179,89.95,174.1,1.935519733163585
2.0999999995110556,95,184,90.05,174.6,1.93892282063366
2.124999999505235,96,179,90.0,175.2,1.9466666666450367
2.149999999499414,86,157,89.4,174.95,1.9569351230206156
2.1749999994935934,85,154,87.5,175.55,2.0062857142627855
2.1999999994877726,83,193,86.7,176.4,2.0346020761011
2.224999999481952,78,185,86.6,175.4,2.025404157020492
2.249999999476131,82,165,85.7,175.05,2.042590431714789
2.2749999994703103,77,165,85.25,174.85,2.0510263929378176
2.2999999994644895,75,214,85.0,175.2,2.061176470563986
2.3249999994586688,89,188,84.0,175.85,2.0934523809274586
2.349999999452848,96,185,84.15,175.8,2.089126559689969
2.374999999447027,81,184,84.25,175.5,2.0830860533877376
2.3999999994412065,70,176,84.7,175.25,2.069067296315595
2.4249999994353857,72,175,84.8,176.0,2.0754716980887324
2.449999999429565,82,154,85.75,178.05,2.0763848396259315
2.474999999423744,76,168,86.6,177.9,2.054272517297295
2.4999999994179234,92,171,87.3,178.15,2.040664375692547
2.5249999994121026,84,160,88.15,178.2,2.021554169007129
2.549999999406282,88,181,88.9,178.4,2.0067491563328823
2.574999999400461,96,178,90.65,177.45,1.9575289575073629
2.5999999993946403,97,178,91.1,175.85,1.9302963775858364
2.6249999993888196,105,174,92.05,175.2,1.9033134166007244
2.649999999382999,88,172,93.3,173.3,1.8574490889404347
2.674999999377178,104,195,93.85,173.35,1.8470964304544795
2.6999999993713573,100,190,94.45,172.35,1.8247750132151954
2.7249999993655365,92,190,95.35,174.0,1.8248557944223927
2.7499999993597157,99,166,96.8,174.95,1.8073347107251307
