Optical Power Monitor 6.1.4945.818

Power Meter;PM160
Power Meter SN;400786
Sensor;
Sensor SN;
Sensor Type;
Wavelength;780 nm
Range;Auto;range changed during the measurement.

Start of Measurement;12/2/2025 16:13:39
Elapsed Time;00:00:59:980
Samples;811

--Statistics--
Minimum [W];7,9734E-05
Maximum [W];8,0321E-05
Mean [W];7,9969E-05
Standard Deviation [W];9,1943E-08
Ratio;1,007 : 1

--Graph Data--
Time (ms);Power (W)
34526,120;7,991E-05
34652,120;7,9968E-05
34717,120;7,9981E-05
34776,120;7,9976E-05
34839,120;7,9967E-05
34961,120;7,993E-05
35020,120;7,9897E-05
35090,120;7,9897E-05
35126,120;7,9941E-05
35254,120;7,9967E-05
35312,120;8,0005E-05
35371,120;8,0016E-05
35445,120;7,9986E-05
35567,120;7,9971E-05
35626,120;7,9989E-05
35686,120;8E-05
35749,120;8,0018E-05
35871,120;8,0041E-05
35930,120;8,0053E-05
35970,120;8,0026E-05
36054,120;7,9979E-05
36151,120;7,9938E-05
36235,120;7,9959E-05
36272,120;7,9991E-05
36356,120;8,0015E-05
36452,120;8,0034E-05
36527,120;8,0057E-05
36582,120;8,0055E-05
36641,120;8,0046E-05
36702,120;8,0067E-05
36774,120;8,0039E-05
36833,120;7,9998E-05
36890,120;8,0006E-05
36949,120;8,0042E-05
37011,120;8,0069E-05
37135,691;7,9995E-05
37252,691;8,0075E-05
37315,691;8,0083E-05
37440,691;8,006E-05
37499,691;8,0026E-05
37558,691;8,0006E-05
37670,691;7,9977E-05
37821,940;7,9936E-05
37855,940;7,997E-05
37939,940;7,9999E-05
38042,940;8,0088E-05
38162,940;8,0153E-05
38221,940;8,0184E-05
38286,940;8,0258E-05
38320,940;8,0321E-05
38411,940;8,0292E-05
38533,940;8,0177E-05
38570,940;8,0108E-05
38654,940;8,0029E-05
38691,940;7,9988E-05
38771,940;7,9964E-05
38891,940;7,9929E-05
38929,940;7,9966E-05
39014,940;7,999E-05
39114,940;8,0093E-05
39181,940;8,0122E-05
39244,940;8,0119E-05
39302,940;8,0127E-05
39367,940;8,011E-05
39426,940;8,0067E-05
39540,940;7,9964E-05
39599,940;7,9906E-05
39664,940;7,9859E-05
39725,940;7,9857E-05
39784,940;7,9925E-05
39911,940;7,9888E-05
39947,940;7,9862E-05
40031,940;7,9853E-05
40072,940;7,9859E-05
40131,940;7,987E-05
40254,940;7,9899E-05
40394,940;7,9891E-05
40452,940;7,9898E-05
40574,940;7,9909E-05
40635,940;7,9941E-05
40674,940;7,9948E-05
40732,940;7,9935E-05
40791,940;7,9933E-05
40862,940;7,9917E-05
40924,940;7,9899E-05
40979,940;7,989E-05
41037,940;7,9867E-05
41100,940;7,9849E-05
41225,940;7,9841E-05
41284,940;7,9828E-05
41342,940;7,9822E-05
41405,940;7,9805E-05
41530,940;7,9844E-05
41589,940;7,9891E-05
41699,940;7,9855E-05
41771,940;7,9854E-05
41835,940;7,9869E-05
41895,940;7,9879E-05
41954,940;7,9897E-05
42016,940;7,9957E-05
42137,940;8,0037E-05
42199,940;7,9999E-05
42237,940;7,9954E-05
42299,940;7,9906E-05
42382,940;7,9881E-05
42479,940;7,9907E-05
42539,940;7,9944E-05
42622,940;7,9928E-05
42660,940;7,9883E-05
42744,940;7,9903E-05
42865,940;7,9885E-05
42906,940;7,9872E-05
42971,940;7,9918E-05
43030,940;7,9954E-05
43149,940;7,9882E-05
43208,940;7,9915E-05
43270,940;7,9953E-05
43329,940;7,9961E-05
43465,940;8,0007E-05
43525,940;8,0003E-05
43585,940;7,9975E-05
43646,940;7,9986E-05
43705,940;8,0046E-05
43825,940;8,0082E-05
43865,940;8,0068E-05
43927,940;8,0074E-05
43986,940;8,0071E-05
44048,940;8,0066E-05
44120,940;8,0068E-05
44177,940;8,0071E-05
44244,940;8,0073E-05
44303,940;8,0064E-05
44365,940;8,0071E-05
44489,940;8,0117E-05
44548,940;8,0176E-05
44595,940;8,016E-05
44656,940;8,0122E-05
44715,940;8,0133E-05
44785,940;8,0158E-05
44850,940;8,0141E-05
44909,940;8,0114E-05
44974,940;8,0113E-05
45034,940;8,01E-05
45154,940;8,0117E-05
45213,940;8,0142E-05
45275,940;8,0102E-05
45334,940;8,0127E-05
45455,940;8,0035E-05
45500,940;7,9963E-05
45559,940;7,9935E-05
45621,940;7,9925E-05
45740,940;7,9939E-05
45799,940;7,9966E-05
45858,940;7,9981E-05
