Optical Power Monitor 6.1.4945.818

Power Meter;PM160
Power Meter SN;400786
Sensor;
Sensor SN;
Sensor Type;
Wavelength;780 nm
Range;Auto;range changed during the measurement.

Start of Measurement;12/2/2025 15:58:54
Elapsed Time;00:00:59:987
Samples;817

--Statistics--
Minimum [W];7,9701E-05
Maximum [W];8,0331E-05
Mean [W];8,0064E-05
Standard Deviation [W];9,9646E-08
Ratio;1,008 : 1

--Graph Data--
Time (ms);Power (W)
24521,519;8,0226E-05
24581,519;8,0187E-05
24644,519;8,0139E-05
24701,519;8,0071E-05
24843,519;8,0019E-05
24883,519;8,0046E-05
24966,519;8,0092E-05
25004,519;8,0122E-05
25088,519;8,0104E-05
25184,519;8,0128E-05
25248,519;8,0123E-05
25306,519;8,0061E-05
25369,519;7,9999E-05
25426,519;7,9969E-05
25559,601;8,001E-05
25624,601;8,0023E-05
25683,601;8,0028E-05
25743,601;8,0031E-05
25788,601;8,0027E-05
25859,601;8,0044E-05
25918,601;8,0076E-05
25979,601;8,0077E-05
26039,601;8,0065E-05
26103,601;8,0076E-05
26224,601;8,0103E-05
26283,601;8,0081E-05
26348,601;8,0082E-05
26407,601;8,0117E-05
26461,601;8,0108E-05
26575,601;8,0081E-05
26636,601;8,002E-05
26710,601;7,9964E-05
26769,601;7,9943E-05
26892,601;7,9975E-05
26935,601;7,998E-05
26994,601;7,9996E-05
27053,601;7,9969E-05
27115,601;7,993E-05
27242,601;7,9918E-05
27304,601;7,9879E-05
27364,601;7,9866E-05
27426,601;7,9893E-05
27497,601;7,9929E-05
27555,601;7,9968E-05
27617,601;7,9995E-05
27658,601;7,9991E-05
27719,601;7,9981E-05
27790,601;7,9977E-05
27853,601;7,9974E-05
27911,601;7,9994E-05
28034,601;8,0113E-05
28152,601;8,0049E-05
28214,601;7,9985E-05
28273,601;7,9974E-05
28335,601;8,0003E-05
28454,601;8,003E-05
28513,601;8,0029E-05
28571,601;8,0028E-05
28633,601;8,0029E-05
28692,601;8,0057E-05
28809,601;8,0165E-05
28874,601;8,0194E-05
28933,601;8,0208E-05
28992,601;8,017E-05
29053,601;8,0153E-05
29183,134;8,0083E-05
29295,134;8,0018E-05
29354,134;7,9997E-05
29475,134;8,0009E-05
29538,134;7,9975E-05
29599,134;7,9941E-05
29663,134;7,9954E-05
29780,134;7,9926E-05
29842,134;8,0022E-05
29909,134;8,0126E-05
29948,134;8,0125E-05
30015,134;8,0091E-05
30077,134;8,0074E-05
30135,134;8,0065E-05
30194,134;8,0048E-05
30282,134;8,002E-05
30378,134;8,0021E-05
30437,134;8,006E-05
30524,134;8,0084E-05
30558,134;8,0085E-05
30629,134;8,0098E-05
30753,134;8,0093E-05
30812,134;8,0096E-05
30870,134;8,0117E-05
30932,134;8,0122E-05
31034,134;8,0109E-05
31093,134;8,0091E-05
31157,134;8,012E-05
31215,134;8,0158E-05
31274,134;8,0147E-05
31392,912;8,0169E-05
31483,912;8,0186E-05
31517,912;8,0184E-05
31578,912;8,0195E-05
31639,912;8,021E-05
31759,912;8,0151E-05
31821,912;8,0143E-05
31886,912;8,0182E-05
31944,912;8,0173E-05
32006,912;8,0148E-05
32129,912;8,0029E-05
32196,912;8,0021E-05
32255,912;8,004E-05
32313,912;8,001E-05
32496,225;7,9894E-05
32555,225;7,9903E-05
32621,225;7,9883E-05
32680,225;7,9878E-05
32801,579;7,9911E-05
32860,579;7,995E-05
32923,579;7,9981E-05
32982,579;8,0009E-05
33103,579;8,0071E-05
33170,579;8,0088E-05
33207,579;8,0104E-05
33266,579;8,0132E-05
33328,579;8,0158E-05
33451,161;8,013E-05
33510,161;8,0133E-05
33575,161;8,0158E-05
33636,161;8,0159E-05
33750,161;8,0147E-05
33808,161;8,0113E-05
33873,161;8,0067E-05
33932,161;8,0042E-05
34053,161;8,0022E-05
34112,161;8,0017E-05
34180,161;8,0024E-05
34238,161;8,0034E-05
34362,161;8,0058E-05
34421,161;8,0046E-05
34483,161;8,0003E-05
34542,161;7,9965E-05
34663,020;8,0053E-05
34724,020;8,0098E-05
34785,020;8,0083E-05
34844,020;8,0061E-05
34907,020;8,0072E-05
35032,020;8,0108E-05
35090,020;8,0082E-05
35149,020;8,0068E-05
35213,020;8,004E-05
35316,020;7,9997E-05
35376,020;8,0025E-05
35434,020;8,0098E-05
35493,020;8,017E-05
35556,020;8,0165E-05
35697,020;8,0108E-05
35739,020;8,0124E-05
35799,020;8,0136E-05
35863,020;8,0147E-05
35933,020;8,0142E-05
35992,020;8,0131E-05
36051,020;8,0106E-05
36111,020;8,0086E-05
36172,020;8,0065E-05
36291,020;8,0001E-05
36349,020;7,9985E-05
36409,020;7,9987E-05
36473,020;8,0008E-05
36594,020;8,003E-05
36657,020;8,0068E-05
36716,020;8,008E-05
36779,020;8,0029E-05
36881,020;8,0018E-05
36943,020;8,0025E-05
37002,020;8,0018E-05
37064,020;8,0002E-05
37136,020;8,0005E-05
37194,020;7,9986E-05
37254,020;7,9951E-05
37316,020;7,9943E-05
37375,020;7,994E-05
37497,020;7,9904E-05
37558,020;7,9908E-05
37626,020;7,9936E-05
37684,020;7,9978E-05
37807,020;8,0049E-05
37844,020;8,0068E-05
37928,020;8,0086E-05
37966,020;8,0094E-05
38024,020;8,0092E-05
38096,020;8,0096E-05
38158,020;8,0109E-05
38229,020;8,0139E-05
38283,020;8,0196E-05
38343,020;8,0246E-05
38463,020;8,0146E-05
38587,020;8,0145E-05
38646,020;8,0147E-05
38749,020;8,009E-05
38833,020;8,0107E-05
38868,020;8,0101E-05
38952,020;8,0058E-05
39051,020;8,0154E-05
39109,020;8,017E-05
39174,020;8,0165E-05
39233,020;8,0158E-05
39292,020;8,0123E-05
39366,020;8,0095E-05
39418,020;8,0102E-05
39544,020;8,0105E-05
39607,020;8,0096E-05
39731,020;8,0105E-05
39781,020;8,0107E-05
39843,020;8,01E-05
39907,020;8,0079E-05
40026,264;8,0034E-05
40084,264;8,0026E-05
40149,264;8,0024E-05
40207,264;8,0039E-05
40329,264;8,0116E-05
40391,264;8,0133E-05
40450,264;8,0126E-05
40504,264;8,0099E-05
40571,264;8,0074E-05
40634,264;8,0066E-05
40692,264;8,0033E-05
40754,264;7,9999E-05
40816,264;7,9989E-05
40921,264;8,0053E-05
40985,264;8,0067E-05
41046,264;8,0032E-05
41110,264;8,0022E-05
41177,264;8,0001E-05
41239,264;7,9959E-05
41297,264;7,9964E-05
41361,264;7,9998E-05
41422,264;8,0047E-05
41524,264;8,0092E-05
41651,264;8,0102E-05
41710,264;8,0102E-05
41778,264;8,0088E-05
41894,740;8,0047E-05
41957,740;7,9995E-05
42025,740;7,9985E-05
42067,740;8,0025E-05
42137,740;8,0056E-05
42195,740;8,0056E-05
42254,740;8,0064E-05
42318,740;8,0069E-05
42380,740;8,0076E-05
42502,740;8,0094E-05
42564,740;8,0093E-05
42624,740;8,0087E-05
42703,740;8,0075E-05
42795,740;8,0121E-05
42858,740;8,0163E-05
42917,740;8,0197E-05
42979,740;8,0231E-05
43039,740;8,0273E-05
43154,740;8,0206E-05
43219,740;8,0155E-05
43278,740;8,0123E-05
43348,740;8,0123E-05
43469,740;8,0119E-05
43533,740;8,0083E-05
43592,740;8,0064E-05
43630,740;8,0079E-05
43714,740;8,0143E-05
43834,740;8,0148E-05
43893,740;8,0136E-05
43937,740;8,0127E-05
43995,740;8,0128E-05
44079,740;8,0131E-05
44178,740;8,009E-05
44240,740;8,0069E-05
44299,740;8,0041E-05
44368,740;8,0017E-05
44487,740;7,9986E-05
44549,740;7,9973E-05
44678,740;7,9944E-05
44813,740;7,9957E-05
44847,740;7,9963E-05
44912,740;7,9941E-05
44970,740;7,9924E-05
45033,740;7,99E-05
45155,740;7,9951E-05
45213,740;7,9994E-05
45275,740;8,0018E-05
45337,740;8,005E-05
45460,740;8,0057E-05
45525,740;8,0056E-05
45584,740;8,0075E-05
45620,740;8,0118E-05
45693,740;8,0139E-05
45817,740;8,0099E-05
45925,740;8,0102E-05
45984,740;8,0104E-05
46055,740;8,0093E-05
46120,740;8,0061E-05
46179,740;8,0016E-05
46238,740;8,0002E-05
46299,740;8,0016E-05
46427,740;8,0003E-05
46489,740;8,0138E-05
46548,740;8,0231E-05
46610,740;8,0188E-05
46709,740;8,014E-05
46789,740;8,0145E-05
46848,740;8,0176E-05
46888,740;8,0186E-05
46972,740;8,0186E-05
47068,740;8,0173E-05
47134,740;8,0186E-05
47203,740;8,016E-05
47265,740;8,0101E-05
47387,740;8,0017E-05
47446,740;7,9997E-05
47502,740;7,9981E-05
47561,740;7,998E-05
47683,740;7,9968E-05
47747,740;7,9953E-05
47914,897;8,0084E-05
47984,897;8,007E-05
48043,897;8,0075E-05
48101,897;8,0123E-05
48164,897;8,0136E-05
48223,897;8,0131E-05
48347,897;8,012E-05
48408,897;8,0118E-05
48465,897;8,0096E-05
48528,897;8,0082E-05
48643,897;8,0114E-05
48704,897;8,0178E-05
48768,897;8,0172E-05
48827,897;8,0115E-05
48948,897;8,0009E-05
49007,897;7,9998E-05
49068,897;8,003E-05
49129,897;8,0063E-05
49248,897;8,003E-05
49307,897;8,0016E-05
49378,897;7,9995E-05
49437,897;7,9977E-05
49558,897;7,9974E-05
49620,897;7,9992E-05
49679,897;8,0027E-05
49788,197;8,0064E-05
49855,197;8,0077E-05
49917,197;8,0067E-05
49977,197;8,0035E-05
50039,197;8,0028E-05
50089,197;8,0039E-05
50163,197;8,0031E-05
50226,197;7,9987E-05
50284,197;7,9963E-05
50347,197;8,0008E-05
50406,197;8,005E-05
50518,197;8,0016E-05
50584,197;8,0012E-05
50643,197;8,0022E-05
