MWfrequencies,SDmean,err_SDmean
-169.83967935871743,0.031746031746031744,0.022088645799247856
-168.83767535070143,0.015873015873015872,0.01574653564323481
-167.83567134268537,0.015873015873015872,0.01574653564323481
-166.83366733466934,0.015873015873015872,0.01574653564323481
-165.8316633266533,0.015873015873015872,0.01574653564323481
-164.82965931863728,0.015873015873015872,0.01574653564323481
-163.82765531062125,0.047619047619047616,0.02683029380090528
-162.82565130260522,0.015873015873015872,0.01574653564323481
-161.8236472945892,0.0,0.0
-160.82164328657313,0.031746031746031744,0.022088645799247856
-159.81963927855713,0.015873015873015872,0.01574653564323481
-158.81763527054107,0.015873015873015872,0.01574653564323481
-157.81563126252507,0.0,0.0
-156.81362725450902,0.015873015873015872,0.01574653564323481
-155.811623246493,0.0,0.0
-154.80961923847696,0.0,0.0
-153.80761523046093,0.0,0.0
-152.8056112224449,0.0,0.0
-151.80360721442887,0.015873015873015872,0.01574653564323481
-150.80160320641284,0.0,0.0
-149.7995991983968,0.015873015873015872,0.01574653564323481
-148.79759519038078,0.0,0.0
-147.79559118236475,0.0,0.0
-146.79358717434872,0.0,0.0
-145.79158316633266,0.015873015873015872,0.01574653564323481
-144.78957915831666,0.015873015873015872,0.01574653564323481
-143.7875751503006,0.015873015873015872,0.01574653564323481
-142.7855711422846,0.015873015873015872,0.01574653564323481
-141.78356713426854,0.0,0.0
-140.78156312625254,0.0,0.0
-139.77955911823648,0.0,0.0
-138.77755511022045,0.0,0.0
-137.77555110220442,0.0,0.0
-136.7735470941884,0.015873015873015872,0.01574653564323481
-135.77154308617236,0.015873015873015872,0.01574653564323481
-134.76953907815633,0.0,0.0
-133.7675350701403,0.0,0.0
-132.76553106212427,0.0,0.0
-131.76352705410824,0.0,0.0
-130.76152304609218,0.015873015873015872,0.01574653564323481
-129.75951903807618,0.015873015873015872,0.01574653564323481
-128.75751503006012,0.0,0.0
-127.7555110220441,0.015873015873015872,0.01574653564323481
-126.75350701402807,0.0,0.0
-125.75150300601204,0.015873015873015872,0.01574653564323481
-124.749498997996,0.0,0.0
-123.74749498997997,0.015873015873015872,0.01574653564323481
-122.74549098196394,0.031746031746031744,0.022088645799247856
-121.74348697394791,0.0,0.0
-120.74148296593188,0.015873015873015872,0.01574653564323481
-119.73947895791585,0.0,0.0
-118.73747494989982,0.0,0.0
-117.73547094188379,0.0,0.0
-116.73346693386776,0.015873015873015872,0.01574653564323481
-115.73146292585173,0.0,0.0
-114.7294589178357,0.047619047619047616,0.02683029380090528
-113.72745490981964,0.0,0.0
-112.72545090180361,0.0,0.0
-111.72344689378758,0.015873015873015872,0.01574653564323481
-110.72144288577155,0.031746031746031744,0.022088645799247856
-109.71943887775552,0.015873015873015872,0.01574653564323481
-108.71743486973949,0.015873015873015872,0.01574653564323481
-107.71543086172346,0.015873015873015872,0.01574653564323481
-106.71342685370743,0.0,0.0
-105.7114228456914,0.015873015873015872,0.01574653564323481
-104.70941883767537,0.047619047619047616,0.026830293800905285
-103.70741482965934,0.015873015873015872,0.01574653564323481
-102.70541082164331,0.06349206349206349,0.030721695287833063
-101.70340681362728,0.07936507936507936,0.03405557165856028
-100.70140280561125,0.3333333333333333,0.05939138709164986
-99.6993987975952,0.6349206349206349,0.06065730203397998
-98.69739478957916,0.30158730158730157,0.057821894176584364
-97.69539078156313,0.031746031746031744,0.022088645799247856
-96.6933867735471,0.06349206349206349,0.030721695287833063
-95.69138276553107,0.047619047619047616,0.026830293800905285
-94.68937875751504,0.031746031746031744,0.022088645799247852
-93.68737474949901,0.015873015873015872,0.01574653564323481
-92.68537074148298,0.0,0.0
-91.68336673346695,0.0,0.0
-90.68136272545092,0.0,0.0
-89.6793587174349,0.0,0.0
-88.67735470941886,0.015873015873015872,0.01574653564323481
-87.67535070140283,0.015873015873015872,0.01574653564323481
-86.6733466933868,0.0,0.0
-85.67134268537075,0.0,0.0
-84.66933867735472,0.015873015873015872,0.01574653564323481
-83.66733466933869,0.0,0.0
